193.106.30.99 - - [15/Feb/2025:16:04:04 +0300] "POST /wp-content/uploads/2018/08/seo_script.php HTTP/1.1" 500 595 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"rt=0.062 uct="-" uht="-" urt="-"
93.158.167.130 - - [15/Feb/2025:16:05:00 +0300] "GET / HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
89.32.248.234 - - [15/Feb/2025:16:11:33 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.190 uct="0.000" uht="0.190" urt="0.190"
89.32.248.234 - - [15/Feb/2025:16:11:34 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.342 uct="0.000" uht="0.191" urt="0.191"
89.32.248.234 - - [15/Feb/2025:16:11:35 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.400 uct="0.000" uht="0.248" urt="0.248"
93.158.167.130 - - [15/Feb/2025:16:15:47 +0300] "GET / HTTP/1.1" 301 185 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
93.158.167.130 - - [15/Feb/2025:16:15:48 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.278 uct="0.000" uht="0.192" urt="0.278"
157.55.39.97 - - [15/Feb/2025:16:17:21 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"rt=0.269 uct="0.000" uht="0.184" urt="0.269"
87.250.233.68 - - [15/Feb/2025:16:18:00 +0300] "GET / HTTP/1.1" 301 185 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.000 uct="-" uht="-" urt="-"
93.158.167.130 - - [15/Feb/2025:16:18:00 +0300] "GET / HTTP/1.1" 200 14475 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"rt=0.270 uct="0.000" uht="0.185" urt="0.270"
85.108.65.190 - - [15/Feb/2025:16:19:10 +0300] "GET / HTTP/1.1" 200 3698 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"rt=0.000 uct="-" uht="-" urt="-"
139.180.174.55 - - [15/Feb/2025:16:27:04 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.192 uct="0.000" uht="0.192" urt="0.192"
139.180.174.55 - - [15/Feb/2025:16:27:05 +0300] "POST /wp-login.php HTTP/1.1" 200 1721 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.521 uct="0.000" uht="0.194" urt="0.194"
139.180.174.55 - - [15/Feb/2025:16:27:08 +0300] "POST /xmlrpc.php HTTP/1.1" 200 292 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.604 uct="0.000" uht="0.267" urt="0.267"
167.71.136.40 - - [15/Feb/2025:16:43:16 +0300] "GET /wp-login.php HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"rt=0.192 uct="0.000" uht="0.192" urt="0.192"
